job_id_x,depth,seed,k,obj_val_x,time_x,job_id_y,obj_val_y,time_y,nash
15158563,8.0,20.0,14.0,6.857142857142857,8.14,15041176,6.596858638743456,13.64,6.596858638743456
15157618,6.0,5.0,13.0,6.461538461538462,7.43,15040230,6.146341463414634,5.71,6.146341463414634
15158407,8.0,14.0,9.0,7.0,8.06,15041020,6.445012787723785,11.75,6.445012787723785
15157699,6.0,26.0,15.0,7.2,5.03,15040311,6.857142857142855,4.92,6.857142857142855
15157207,5.0,15.0,14.0,6.5,5.04,15039818,6.31974921630094,4.95,6.31974921630094
15158898,9.0,25.0,10.0,7.2,5.42,15041574,6.631578947368421,10.26,6.631578947368421
15159271,10.0,6.0,8.0,7.0,6.05,15041945,6.653465346534654,10.18,6.653465346534654
15156933,5.0,11.0,5.0,7.0,4.36,15039544,6.3197492163009406,7.0,6.3197492163009406
15158016,7.0,13.0,11.0,7.0,8.58,15040628,6.531317494600432,8.88,6.531317494600432
15157383,6.0,10.0,5.0,7.0,4.04,15039995,6.3197492163009406,4.87,6.3197492163009406
15159261,10.0,26.0,7.0,7.7142857142857135,6.0,15041935,6.857142857142858,7.05,6.857142857142858
15159143,10.0,28.0,3.0,6.999999999999999,3.99,15041817,7.0,4.22,6.054054054054054
15159171,10.0,26.0,4.0,8.0,4.84,15041845,8.0,6.14,6.857142857142858
15158912,9.0,9.0,11.0,7.3636363636363615,4.39,15041588,6.810810810810811,6.9,6.810810810810811
15158037,7.0,4.0,12.0,6.0,4.51,15040649,5.976284584980239,8.96,5.976284584980239
