job_id,depth,seed,k,scenario,obj_val,time
15075981,5.0,26.0,7.0,0.0,4.0,144.33
15077352,6.0,17.0,3.0,5.0,3.9999997422148597,46.79
15075998,5.0,13.0,8.0,0.0,3.9884892086330943,791.25
15076122,6.0,17.0,2.0,0.0,4.0,10.3
15077375,6.0,10.0,4.0,5.0,4.0,438.43
15077118,5.0,23.0,5.0,5.0,4.235294117647059,134.75
15077422,6.0,27.0,5.0,5.0,3.9999937074752214,11658.32
15077622,7.0,16.0,2.0,5.0,4.0,38.66
15076461,7.0,26.0,3.0,0.0,3.999999575840686,51.71
15077111,5.0,16.0,5.0,5.0,4.0,213.88
15077590,7.0,14.0,1.0,5.0,7.999995496557589,4.73
15077962,8.0,26.0,3.0,5.0,4.0,5592.35
15077394,6.0,29.0,4.0,5.0,4.0,226.56
15075931,5.0,6.0,6.0,0.0,3.913043235536923,43.67
15076977,5.0,2.0,1.0,5.0,7.999999999999998,9.97
15077210,5.0,25.0,8.0,5.0,3.9789473684210526,15311.36
15077395,6.0,30.0,4.0,5.0,3.9069767441860463,2452.38
15076416,7.0,11.0,2.0,0.0,4.0,12.79
15077632,7.0,26.0,2.0,5.0,4.235293354640728,36.28
15077921,8.0,15.0,2.0,5.0,3.9999999990001474,43.85
15077683,7.0,17.0,4.0,5.0,3.9999912699639375,15626.06
15075992,5.0,7.0,8.0,0.0,4.235294117647059,215.2
15076985,5.0,10.0,1.0,5.0,6.999999999999998,9.76
15076709,8.0,4.0,2.0,0.0,3.9999999994999995,26.45
15075964,5.0,9.0,7.0,0.0,4.5,255.42
15077289,6.0,14.0,1.0,5.0,7.999996066005591,4.15
15077027,5.0,22.0,2.0,5.0,4.0,12.53
15076694,8.0,19.0,1.0,0.0,4.000000000000001,15.53
15075866,5.0,1.0,4.0,0.0,4.0,17.5
15075915,5.0,20.0,5.0,0.0,4.235291286870877,52.53
15076088,6.0,13.0,1.0,0.0,6.999999999999998,8.9
15076297,6.0,12.0,8.0,0.0,3.9684972355150596,17830.37
15077372,6.0,7.0,4.0,5.0,4.0,615.18
15076120,6.0,15.0,2.0,0.0,4.0,9.46
15076489,7.0,24.0,4.0,0.0,3.0,161.58
15075800,5.0,25.0,1.0,0.0,7.0,10.37
15075946,5.0,21.0,6.0,0.0,3.9999958346299658,126.13
15077685,7.0,19.0,4.0,5.0,3.857142857142857,950.0
15076521,7.0,26.0,5.0,0.0,3.5643564356435644,7225.97
15076129,6.0,24.0,2.0,0.0,4.235294117123525,15.84
15077954,8.0,18.0,3.0,5.0,4.0,7508.84
15076706,8.0,1.0,2.0,0.0,3.999999999,25.68
15076690,8.0,15.0,1.0,0.0,4.0,11.76
15077128,5.0,3.0,6.0,5.0,3.9841897233201586,284.75
15077294,6.0,19.0,1.0,5.0,5.999999999999997,10.15
